cssiscoring_id,variable_id,subvariable_id,score
3,1,null,5
3,2,null,5
3,3,null,1
3,4,null,2
3,5,null,5
3,6,null,1
3,7,null,5
3,8,null,1
3,9,null,4
3,10,null,5
3,11,null,1
3,12,null,1
3,13,null,4
3,14,null,5
3,15,null,4
3,16,null,5
3,17,null,3
3,18,null,4
3,19,null,3
3,20,null,2
3,21,null,3
3,22,1,3
3,22,2,2
3,22,3,3
3,22,4,2
3,22,5,1
3,23,null,2
3,24,null,5
3,25,null,4
3,26,null,3
3,27,null,5
3,28,null,5
3,29,null,5
3,30,null,2
3,31,null,1
3,32,null,4
3,33,null,4
3,34,null,5
3,35,null,4
3,36,null,1
3,37,null,1
3,38,null,5
3,39,null,2
3,40,null,5
3,41,null,4
3,42,null,1
3,43,null,5
3,44,null,4
3,45,null,3
3,46,null,4
3,47,null,3
3,48,null,5
3,49,null,4
3,50,null,3
3,51,null,1
3,52,null,5
3,53,null,3
3,54,null,2
3,55,null,3
3,56,null,1
3,57,null,1
3,58,null,2
3,59,null,2
3,60,null,2
3,61,null,3
3,62,null,3
3,63,null,1
3,64,null,1
3,65,null,5
3,66,null,3
3,67,null,5
3,68,null,1
3,69,null,4
3,70,null,5
3,71,null,1
3,72,null,2
3,73,null,5
3,74,null,3
3,75,null,3
3,76,null,5
3,77,null,1
3,78,null,4
3,79,null,5
3,80,null,3
3,81,null,1
3,82,null,5
3,83,null,4
3,84,null,1
3,85,null,4
3,86,null,1
3,87,null,3
3,88,null,5
3,89,null,2
3,90,null,1
3,91,null,4
3,92,null,5
3,93,null,1
3,94,null,3
3,95,null,5
3,96,null,3
3,97,null,4
3,98,null,3
3,99,null,4
3,100,null,1
3,101,null,5
3,102,null,4
3,103,null,4
3,104,null,4
3,105,null,2
3,106,null,3
3,107,null,5
3,108,null,3
3,109,null,4
3,110,null,2
3,111,null,3
3,112,null,4
3,113,null,2
3,114,null,1
3,115,null,1
3,116,null,2
3,117,null,5
3,118,null,5
3,119,null,2
3,120,null,1
3,121,null,3
3,122,null,1
3,123,null,2
3,124,null,4
3,125,null,3
3,126,null,3
3,127,null,2
3,128,null,2
3,129,null,3
3,130,null,2
3,131,null,2
3,132,null,5
3,133,null,5
3,134,null,4
3,135,null,1
3,136,null,2
3,137,null,2
3,138,null,3
3,139,null,3
3,140,null,4
3,141,null,2
3,142,null,4
3,143,null,3
3,144,null,5
3,145,null,3
3,146,null,2
3,147,null,1
3,148,null,1
3,149,null,5
3,150,null,5
3,151,null,4
3,152,null,4
3,153,null,1
3,154,null,5
3,155,null,4
4,1,null,4
4,2,null,3
4,3,null,2
4,4,null,2
4,5,null,5
4,6,null,3
4,7,null,4
4,8,null,3
4,9,null,3
4,10,null,1
4,11,null,3
4,12,null,4
4,13,null,4
4,14,null,4
4,15,null,3
4,16,null,1
4,17,null,4
4,18,null,4
4,19,null,4
4,20,null,5
4,21,null,1
4,22,1,2
4,22,2,2
4,22,3,2
4,22,4,2
4,22,5,2
4,23,null,1
4,24,null,5
4,25,null,5
4,26,null,4
4,27,null,3
4,28,null,1
4,29,null,5
4,30,null,4
4,31,null,3
4,32,null,1
4,33,null,4
4,34,null,5
4,35,null,5
4,36,null,3
4,37,null,1
4,38,null,1
4,39,null,2
4,40,null,1
4,41,null,2
4,42,null,5
4,43,null,3
4,44,null,1
4,45,null,2
4,46,null,1
4,47,null,4
4,48,null,1
4,49,null,3
4,50,null,2
4,51,null,3
4,52,null,1
4,53,null,2
4,54,null,2
4,55,null,5
4,56,null,2
4,57,null,1
4,58,null,4
4,59,null,5
4,60,null,2
4,61,null,5
4,62,null,2
4,63,null,1
4,64,null,2
4,65,null,5
4,66,null,3
4,67,null,2
4,68,null,5
4,69,null,5
4,70,null,2
4,71,null,4
4,72,null,4
4,73,null,5
4,74,null,5
4,75,null,1
4,76,null,5
4,77,null,1
4,78,null,4
4,79,null,3
4,80,null,2
4,81,null,2
4,82,null,2
4,83,null,2
4,84,null,5
4,85,null,3
4,86,null,3
4,87,null,5
4,88,null,4
4,89,null,3
4,90,null,4
4,91,null,2
4,92,null,3
4,93,null,3
4,94,null,1
4,95,null,4
4,96,null,4
4,97,null,3
4,98,null,1
4,99,null,5
4,100,null,3
4,101,null,2
4,102,null,1
4,103,null,5
4,104,null,5
4,105,null,2
4,106,null,3
4,107,null,4
4,108,null,5
4,109,null,2
4,110,null,2
4,111,null,5
4,112,null,5
4,113,null,1
4,114,null,5
4,115,null,1
4,116,null,5
4,117,null,3
4,118,null,3
4,119,null,3
4,120,null,4
4,121,null,4
4,122,null,1
4,123,null,1
4,124,null,3
4,125,null,3
4,126,null,5
4,127,null,4
4,128,null,1
4,129,null,5
4,130,null,2
4,131,null,3
4,132,null,4
4,133,null,5
4,134,null,4
4,135,null,2
4,136,null,3
4,137,null,1
4,138,null,4
4,139,null,1
4,140,null,2
4,141,null,5
4,142,null,5
4,143,null,5
4,144,null,5
4,145,null,5
4,146,null,4
4,147,null,3
4,148,null,1
4,149,null,4
4,150,null,5
4,151,null,1
4,152,null,1
4,153,null,4
4,154,null,5
4,155,null,4
